,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Goderich,29,CA,1561596474,74,43.74,-81.71,73.99,1.01
1,Tamandare,54,BR,1561596487,69,-8.28,-70.75,76.4,1.23
2,Gunnedah,0,AU,1561596487,63,-30.98,150.25,61.0,6.93
3,Vostok,100,RU,1561596430,99,46.45,135.83,58.4,3.11
4,Semey,0,KZ,1561596488,49,50.41,80.25,67.4,11.7
5,Kavaratti,75,IN,1561596468,77,10.57,72.64,82.88,15.82
6,Vaini,75,IN,1561596345,100,15.34,74.49,69.8,3.36
7,Sao Filipe,0,CV,1561596309,85,14.9,-24.5,74.6,23.91
8,Ushuaia,75,AR,1561596473,79,-54.81,-68.31,28.4,20.8
9,Hithadhoo,64,MV,1561596203,74,-0.6,73.08,83.42,8.84
10,Jamestown,0,AU,1561596352,54,-33.21,138.6,58.4,16.71
11,Kapaa,75,US,1561596024,74,22.08,-159.32,82.4,11.41
12,The Valley,40,AI,1561596314,74,18.22,-63.06,82.4,6.93
13,Campbellton,100,CA,1561596490,96,48.0,-66.68,54.8,2.77
14,Mahibadhoo,100,MV,1561596244,75,3.78,72.97,83.42,7.58
15,Abu Dhabi,0,AE,1561596194,67,24.47,54.37,93.2,3.36
16,Tuktoyaktuk,90,CA,1561596436,80,69.44,-133.03,39.2,16.11
17,Juneau,75,US,1561596328,41,58.3,-134.42,80.6,9.17
18,Rio Gallegos,20,AR,1561596101,92,-51.62,-69.22,26.6,9.17
19,Mahebourg,75,MU,1561596351,94,-20.41,57.7,73.4,10.29
20,Lagoa,0,PT,1561596313,77,37.14,-8.45,64.4,9.17
21,Ayan,0,IR,1561596316,62,38.23,44.7,55.7,2.51
22,Kavieng,89,PG,1561596364,72,-2.57,150.8,84.14,8.25
23,Qaanaaq,7,GL,1561596369,67,77.48,-69.36,36.98,3.87
24,Nouadhibou,2,MR,1561596462,83,20.93,-17.03,69.8,14.99
25,Cidreira,0,BR,1561596401,59,-30.17,-50.22,46.88,2.55
26,Tiksi,17,RU,1561596315,38,71.64,128.87,68.48,10.8
27,Port Elizabeth,1,US,1561596161,69,39.31,-74.98,84.99,6.78
28,Nantucket,1,US,1561596403,93,41.28,-70.1,69.01,4.7
29,Fortuna,40,US,1561596166,59,40.6,-124.16,64.4,9.17
30,Palembang,20,ID,1561596493,100,-2.99,104.76,75.2,3.36
31,Sao Gabriel da Cachoeira,3,BR,1561596493,96,-0.13,-67.09,74.24,1.88
32,LOS ALGARROBOS,90,EC,1561596494,83,-3.25,-79.94,89.6,5.82
33,Auki,53,NG,1561596323,69,12.18,6.51,77.84,12.64
34,Vila Velha,20,BR,1561596252,78,-3.71,-38.6,80.6,8.05
